Time	Early	Early	Late	Late	Late	Late	Late	Late	Late	Late	Late	Late	Early	Early	Early	Early	Early	Early	Early
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0.0000000000	0.0011959338	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0004158004	0.0012748133	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.0000000000	0.0011959338	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0004158004	0.0012748133	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|danieliae	0.000000000	0.001195934	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0004158004	0.0012748133	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes|Bacilli|RF39	0.010263480	0.021726131	0.007197203	0.013090044	0.013502780	0.006307339	0.006529210	0.002062387	0.008765185	0.016104680	0.003942551	0.005424528	0.023878824	0.062647969	0.004574812	0.011079503	0.009248281	0.004398505	0.006982544
Bacteria|Firmicutes|Bacilli|RF39|NA	0.010263480	0.021726131	0.007197203	0.013090044	0.013502780	0.006307339	0.006529210	0.002062387	0.008765185	0.016104680	0.003942551	0.005424528	0.023878824	0.062647969	0.004574812	0.011079503	0.009248281	0.004398505	0.006982544
Bacteria|Firmicutes|Bacilli|RF39|NA|NA	0.010263480	0.021726131	0.007197203	0.013090044	0.013502780	0.006307339	0.006529210	0.002062387	0.008765185	0.016104680	0.003942551	0.005424528	0.023878824	0.062647969	0.004574812	0.011079503	0.009248281	0.004398505	0.006982544
Bacteria|Firmicutes|Bacilli|RF39|NA|NA|NA	0.010263480	0.021726131	0.007197203	0.013090044	0.013502780	0.006307339	0.006529210	0.002062387	0.008765185	0.016104680	0.003942551	0.005424528	0.023878824	0.062647969	0.004574812	0.011079503	0.009248281	0.004398505	0.006982544
Bacteria|Firmicutes|Clostridia	0.37208946	0.54235599	0.21427103	0.10035700	0.19142176	0.08887615	0.08075601	0.30265532	0.13755190	0.15571213	0.24518915	0.29551887	0.33079893	0.12147150	0.38724435	0.26081749	0.14394119	0.36309655	0.38520366
Bacteria|Firmicutes|Clostridia|Christensenellales	0.0010723039	0.0000000000	0.0000000000	0.0015866720	0.0000000000	0.0000000000	0.0008591065	0.0000000000	0.0003844380	0.0004026170	0.0005632216	0.0014150943	0.0002970003	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006597757	0.0000000000
Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae	0.0010723039	0.0000000000	0.0000000000	0.0015866720	0.0000000000	0.0000000000	0.0008591065	0.0000000000	0.0003844380	0.0004026170	0.0005632216	0.0014150943	0.0002970003	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006597757	0.0000000000
